fname,fnum,cumulative_nv,cnv_change_6m,unit_nv,unit_nv_change,pnv_change_1m,npv_thisy,class,risk,founded_date,scale,management,manager,fee,mmin_amount,rank_1y
汇安短债债券A,006519,5.45%,2.21%,1.0545,0.01%,0.51%,0.85%,债券型,中低风险,2018-11-07,1.08亿元（2019-12-31）,汇安基金,杨芳,0.03%,100元起购,1700 | 2105
嘉实超短债债券,070009,61.55%,1.80%,1.056,0.02%,0.54%,0.78%,债券型,中低风险,2006-04-26,249.45亿元（2019-12-31）,嘉实基金,李金灿,0.00%,100元起购,1763 | 2105
兴业短债债券A,002301,14.40%,1.78%,1.058,0.00%,0.57%,0.85%,债券型,中低风险,2016-02-03,19.40亿元（2019-12-31）,兴业基金,丁进,0.04%,100元起购,1701 | 2105
融通四季添利债券(LOF),161614,59.75%,3.07%,1.063,0.00%,0.95%,1.43%,债券型,中风险,2012-03-01,9.21亿元（2019-12-31）,融通基金,王超,0.08%,100元起购,970 | 2105
财通资管鸿达纯债E,005882,6.33%,2.45%,1.0633,0.02%,0.71%,1.11%,债券型,中低风险,2018-07-04,0.01亿元（2019-12-31）,财通资管,宫志芳,0.00%,100元起购,1359 | 2105
财通资管鸿达纯债A,005307,9.45%,2.48%,1.0752,0.02%,0.72%,1.14%,债券型,中低风险,2018-01-24,0.01亿元（2019-12-31）,财通资管,宫志芳,0.05%,100元起购,1323 | 2105
东兴兴利债券,003545,7.67%,2.62%,1.0768,0.01%,0.66%,1.13%,债券型,中风险,2017-04-14,2.10亿元（2019-12-31）,东兴证券,方晓,0.08%,1000元起购,1339 | 2105
博时裕盛纯债债券,002755,18.86%,2.86%,1.079,0.00%,0.84%,1.31%,债券型,中低风险,2016-05-20,5.06亿元（2019-12-31）,博时基金,陈凯杨,0.08%,100元起购,1111 | 2105
宝盈盈泰纯债债券C,006572,7.43%,2.85%,1.0794,0.01%,0.60%,0.96%,债券型,中低风险,2018-12-24,2.32亿元（2019-12-31）,宝盈基金,高宇,0.00%,100元起购,1547 | 2105
安信目标收益债券C,750003,51.63%,3.42%,1.079,0.00%,0.84%,1.51%,债券型,中低风险,2012-09-25,0.11亿元（2019-12-31）,安信基金,张翼飞,0.00%,100元起购,864 | 2105
交银双轮动债券C,519725,36.79%,2.35%,1.08,0.00%,0.93%,1.31%,债券型,中低风险,2013-04-18,1.37亿元（2019-12-31）,交银施罗德基金,唐赟,0.00%,100元起购,1117 | 2105
大摩优质信价纯债C,000420,31.86%,2.72%,1.081,0.00%,1.03%,1.50%,债券型,中低风险,2014-11-25,3.05亿元（2019-12-31）,摩根士丹利华鑫基金,施同亮,0.00%,100元起购,868 | 2105
交银双轮动债券A/B,前端：,41.39%,2.53%,1.084,0.00%,0.93%,1.40%,债券型,中低风险,2013-04-18,13.53亿元（2019-12-31）,交银施罗德基金,唐赟,0.08%,100元起购,1005 | 2105
中信建投景和中短债C,000504,26.40%,1.72%,1.0842,0.02%,0.66%,0.94%,债券型,中低风险,2014-01-27,4.37亿元（2019-12-31）,中信建投基金,黄海浩,0.00%,100元起购,1580 | 2105
安信目标收益债券A,750002,56.57%,3.57%,1.09,-0.09%,0.93%,1.49%,债券型,中低风险,2012-09-25,1.60亿元（2019-12-31）,安信基金,张翼飞,0.08%,100元起购,881 | 2105
中邮稳定收益债券C,590010,52.40%,2.33%,1.091,0.00%,1.02%,1.49%,债券型,中低风险,2012-11-21,1.28亿元（2019-12-31）,中邮基金,张萌,0.00%,100元起购,885 | 2105
华夏短债债券C,004673,9.27%,1.69%,1.0927,0.01%,0.50%,0.77%,债券型,中低风险,2017-12-06,25.44亿元（2019-12-31）,华夏基金,刘明宇,0.00%,100元起购,1768 | 2105
中邮稳定收益债券A,590009,55.87%,2.50%,1.094,0.00%,1.02%,1.48%,债券型,中低风险,2012-11-21,57.45亿元（2019-12-31）,中邮基金,张萌,0.08%,100元起购,892 | 2105
广发聚源债券(LOF)C,162716,22.42%,2.05%,1.094,0.00%,0.64%,0.92%,债券型,中低风险,2013-05-08,0.02亿元（2019-12-31）,广发基金,谢军,0.00%,1000元起购,1607 | 2105
创金合信尊享纯债,002336,17.54%,2.93%,1.096,0.00%,1.01%,1.20%,债券型,中低风险,2016-03-11,32.21亿元（2019-12-31）,创金合信基金,郑振源,0.08%,100元起购,1244 | 2105
嘉实稳华纯债债券,004544,15.84%,2.46%,1.0964,0.04%,0.86%,1.19%,债券型,中低风险,2017-06-14,6.38亿元（2019-12-31）,嘉实基金,王亚洲,0.08%,100元起购,1257 | 2105
人保中高等级信用债C,007265,-0.95%,-1.07%,0.9905,0.02%,-0.63%,-0.34%,债券型,中低风险,2019-08-14,0.51亿元（2019-12-31）,人保资产,张玮,0.00%,100元起购,2071 | 2105
交银丰盈收益债券A,519740,30.73%,2.32%,1.103,0.09%,0.82%,1.01%,债券型,中低风险,2014-08-11,0.32亿元（2019-12-31）,交银施罗德基金,连端清,0.03%,100元起购,1489 | 2105
北信瑞丰稳定收益C,000745,40.32%,2.51%,1.104,0.00%,0.91%,1.28%,债券型,中低风险,2014-08-27,0.43亿元（2019-12-31）,北信瑞丰,辇大吉,0.00%,1000元起购,1142 | 2105
广发聚源债券(LOF)A,162715,25.92%,2.22%,1.105,0.00%,0.64%,0.91%,债券型,中低风险,2013-05-08,37.18亿元（2019-12-31）,广发基金,谢军,0.08%,1000元起购,1619 | 2105
北信瑞丰稳定收益A,000744,42.46%,2.77%,1.113,0.00%,1.00%,1.46%,债券型,中低风险,2014-08-27,1.76亿元（2019-12-31）,北信瑞丰,辇大吉,0.08%,100元起购,930 | 2105
中金纯债C,000802,21.92%,2.11%,1.113,0.00%,0.91%,1.18%,债券型,中低风险,2014-11-04,0.13亿元（2019-12-31）,中金基金,石玉,0.00%,100元起购,1268 | 2105
博时安盈债券C,000085,26.83%,1.91%,1.2295,0.02%,0.55%,0.82%,债券型,中低风险,2013-04-23,73.74亿元（2019-12-31）,博时基金,黄海峰,0.00%,100元起购,1732 | 2105
国投瑞银岁赢利债券,002355,13.74%,1.45%,1.123,0.09%,0.54%,0.72%,债券型,中风险,2016-03-29,0.14亿元（2019-12-31）,国投瑞银基金,吴潇,0.06%,100元起购,1811 | 2105
博时裕顺纯债债券,002811,16.93%,3.03%,1.123,0.00%,0.81%,1.17%,债券型,中低风险,2016-06-23,5.66亿元（2019-12-31）,博时基金,程卓,0.08%,100元起购,1282 | 2105
易方达安瑞短债C,006320,4.62%,1.77%,1.0115,0.02%,0.49%,0.75%,债券型,中低风险,2018-11-14,17.91亿元（2019-12-31）,易方达基金,王晓晨,0.00%,100元起购,1791 | 2105
圆信永丰兴利A,001918,16.25%,2.93%,1.125,0.00%,0.81%,1.44%,债券型,中低风险,2016-02-23,1.11亿元（2019-12-31）,圆信永丰基金,林铮,0.08%,100元起购,955 | 2105
易方达安瑞短债A,006319,4.84%,1.83%,1.0127,0.02%,0.51%,0.79%,债券型,中低风险,2018-11-14,11.40亿元（2019-12-31）,易方达基金,王晓晨,0.04%,10元起购,1760 | 2105
银河领先债券,519669,61.15%,3.10%,1.131,-0.18%,0.89%,1.16%,债券型,中低风险,2012-11-29,7.63亿元（2019-12-31）,银河基金,韩晶,0.08%,100元起购,1291 | 2105
中金纯债A,000801,24.83%,2.26%,1.131,-0.09%,0.89%,1.16%,债券型,中低风险,2014-11-04,1.05亿元（2019-12-31）,中金基金,石玉,0.08%,100元起购,1291 | 2105
中科沃土沃安中短利率A,004596,10.67%,1.95%,1.0187,0.06%,0.56%,0.94%,债券型,中低风险,2018-08-22,0.29亿元（2019-12-31）,中科沃土基金,马洪娟,0.04%,100元起购,1579 | 2105
财通鸿益中短债债券C,006361,6.60%,2.04%,1.0197,0.02%,0.54%,0.80%,债券型,中低风险,2018-09-03,85.26亿元（2019-12-31）,财通资管,顾宇笛,0.00%,100元起购,1748 | 2105
中泰青月中短债A,007582,2.24%,2.17%,1.0225,0.01%,0.63%,1.01%,债券型,中低风险,2019-08-09,0.47亿元（2019-12-31）,中泰证券(上海)资管,张蓓蓓(Zhang Phoebe),0.03%,100元起购,1487 | 2105
